name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
New Khaira Transport,1-Bareilly to Delhi,JHUMKA TIRAHA BAREILLY,Anand Vihar,07h 00m,23:50,06:50,INR800,17Seats available,1.919
R S YADAV SMART BUS PRIVATE LIMITED,1-Bareilly to Delhi,Bareilly Satellite,Anand Vihar,06h 06m,23:59,06:05,1044,31Seats available,4.127
New Khaira Transport,1-Bareilly to Delhi,JHUMKA TIRAHA BAREILLY,Anand Vihar,05h 15m,23:45,05:00,INR750,14Seats available,3.832
New Khaira TPT,1-Bareilly to Delhi,Satellite,Anand Vihar,05h 45m,23:15,05:00,INR900,10Seats available,3.734
Jaiswal Holidays,1-Bareilly to Delhi,JHUMKA CHAURAHA,Anand Vihar,05h 50m,22:40,04:30,INR1400,4Seats available,2.8
Jaiswal Holidays,1-Bareilly to Delhi,JHUMKA CHAURAHA,Anand Vihar,06h 20m,21:40,04:00,INR750,14Seats available,2.8
Jaiswal Tour and Travels,1-Bareilly to Delhi,Bareilly Satellite,Anand Vihar( 1 Number Parking),04h 45m,00:15,05:00,INR1500,2Seats available,2.5
Jaiswal Tour and Travels,1-Bareilly to Delhi,Bareilly Satellite,Anand Vihar( 1 Number Parking,05h 45m,22:15,04:00,INR700,44Seats available,2.5
Jaiswal Tour and Travels,1-Bareilly to Delhi,Bareilly Satellite,Anand Vihar( 1 Number Parking,05h 45m,22:50,04:35,INR800,30Seats available,2.5
Rahul Travels,1-Bareilly to Delhi,Bareily,Anand Vihar,06h 00m,23:00,05:00,INR1500,30Seats available,2.0
Rahul Travels,1-Bareilly to Delhi,Bareily,Anand Vihar,06h 30m,22:20,04:50,INR1500,28Seats available,2.0
Vijay Tour and Travels,1-Bareilly to Delhi,Bareilly Satellite,Dhaula Kuan,06h 10m,19:00,01:10,INR749,24Seats available,3.244
Vijay Tour and Travels,1-Bareilly to Delhi,Bareilly Satellite,Dhaula Kuan,06h 20m,17:00,23:20,INR649,25Seats available,2.889
New Khaira Transport,1-Bareilly to Delhi,JHUMKA TIRAHA BAREILLY,Anand Vihar,06h 30m,23:30,06:00,INR550,1Seat available,2.370
New Khaira Transport,1-Bareilly to Delhi,JHUMKA TIRAHA BAREILLY,Anand Vihar,07h 00m,23:50,06:50,INR800,17Seats available,1.919
R S YADAV SMART BUS PRIVATE LIMITED,1-Bareilly to Delhi,Bareilly Satellite,Anand Vihar,06h 06m,23:59,06:05,1044,31Seats available,4.127
New Khaira Transport,1-Bareilly to Delhi,JHUMKA TIRAHA BAREILLY,Anand Vihar,05h 15m,23:45,05:00,INR750,14Seats available,3.832
New Khaira TPT,1-Bareilly to Delhi,Satellite,Anand Vihar,05h 45m,23:15,05:00,INR900,10Seats available,3.734
Jaiswal Holidays,1-Bareilly to Delhi,JHUMKA CHAURAHA,Anand Vihar,05h 50m,22:40,04:30,INR1400,4Seats available,2.8
Jaiswal Holidays,1-Bareilly to Delhi,JHUMKA CHAURAHA,Anand Vihar,06h 20m,21:40,04:00,INR750,14Seats available,2.8
Jaiswal Tour and Travels,1-Bareilly to Delhi,Bareilly Satellite,Anand Vihar( 1 Number Parking),04h 45m,00:15,05:00,INR1500,2Seats available,2.5
Jaiswal Tour and Travels,1-Bareilly to Delhi,Bareilly Satellite,Anand Vihar( 1 Number Parking,05h 45m,22:15,04:00,INR700,44Seats available,2.5
Jaiswal Tour and Travels,1-Bareilly to Delhi,Bareilly Satellite,Anand Vihar( 1 Number Parking,05h 45m,22:50,04:35,INR800,30Seats available,2.5
Rahul Travels,1-Bareilly to Delhi,Bareily,Anand Vihar,06h 00m,23:00,05:00,INR1500,30Seats available,2.0
Rahul Travels,1-Bareilly to Delhi,Bareily,Anand Vihar,06h 30m,22:20,04:50,INR1500,28Seats available,2.0
name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
UPSRTC  - ALI0056,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 55m,08:20,11:15,INR203,51Seats available,3.3
UPSRTC  - ALI0052,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,08:39,11:40,INR203,52Seats available,3.3
UPSRTC  - ALI0053,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:10,12:10,INR203,52Seats available,3.3
UPSRTC  - ALI0054,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:40,12:40,INR203,52Seats available,3.3
UPSRTC  - ALI0055,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,09:55,12:55,INR203,52Seats available,3.3
UPSRTC  - ALI0007,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,12:30,15:30,INR263,47Seats available,4.019
UPSRTC  - ALI0175,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,12:59,16:00,INR304,32Seats available,3.3
UPSRTC  - ALI0010,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,15:00,18:00,INR304,29Seats available,2.739
UPSRTC  - ALI0005,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,02h 30m,05:30,08:00,INR263,33Seats available,4.715
UPSRTC  - ALI0173,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 01m,05:59,09:00,INR304,21Seats available,3.3
UPSRTC  - ALI0008,1-Aligarh (uttar pradesh) to Delhi,ALIGARH SATELITE BUS STAND,NOIDA BUS STAND,03h 00m,08:00,11:00,INR304,21Seats available,3.922
