name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,07:00,10:55,INR400,17Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,08:00,11:55,INR500,24Seats available,1.44
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,04h 00m,09:30,13:30,INR500,27Seats available,2.85
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,04h 00m,11:00,15:00,INR500,26Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,04h 05m,14:30,18:35,INR500,28Seats available,New
Sikkim Nationalised Transport (SNT)  - 174307,1-Siliguri to Gangtok,SNT Bus Stand Siliguri,SNT bus stand,08h 00m,10:30,18:30,INR910,11Seats available,3.032
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,05:00,08:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,06:40,10:35,INR500,16Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,07:00,10:55,INR400,17Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,08:00,11:55,INR500,24Seats available,1.44
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,04h 00m,09:30,13:30,INR500,27Seats available,2.85
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,04h 00m,11:00,15:00,INR500,26Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,04h 05m,14:30,18:35,INR500,28Seats available,New
Sikkim Nationalised Transport (SNT)  - 174307,1-Siliguri to Gangtok,SNT Bus Stand Siliguri,SNT bus stand,08h 00m,10:30,18:30,INR910,11Seats available,3.032
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,05:00,08:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,06:40,10:35,INR500,16Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,07:00,10:55,INR400,17Seats available,New
